,Benchmark,Hardware Vendor,System,avg. watts @ 100%,avg. watts @ active idle,Chips,# Cores Per Chip,# Threads Per Core,CPU Description,Processor MHz,Total Memory (GB),Total Threads
136,power_ssj2008,Dell Inc.,"PowerEdge M915 (AMD Opteron 6380, 2.50 GHz)",4562.0,976.0,32,16,1,AMD Opteron 6380,2500,512,512
137,power_ssj2008,Dell Inc.,"PowerEdge R240 (Intel Xeon E-2176G, 3.70 GHz)",93.1,20.0,1,6,2,Intel Xeon E-2176G,3700,32,12
139,power_ssj2008,Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)",205.0,51.2,2,8,2,Intel Xeon E5-2470,2300,24,32
140,power_ssj2008,Dell Inc.,"PowerEdge R420 (Intel Xeon E5-2470, 2.30 GHz)",263.0,53.3,2,8,2,Intel Xeon E5-2470,2300,24,32
141,power_ssj2008,Dell Inc.,PowerEdge R510,266.0,56.9,2,6,2,Intel Xeon X5670,2933,12,24
142,power_ssj2008,Dell Inc.,"PowerEdge R520 (Intel Xeon E5-2470, 2.30 GHz)",264.0,47.9,2,8,2,Intel Xeon E5-2470,2300,24,32
143,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon L5530, 2.40 GHz)",172.0,60.0,2,4,2,Intel Xeon L5530,2400,8,16
144,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5570, 2.93 GHz)",236.0,63.2,2,4,2,Intel Xeon X5570,2933,12,16
145,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",242.0,61.9,2,6,2,Intel Xeon X5670,2933,12,24
146,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",244.0,62.3,2,6,2,Intel Xeon X5670,2933,12,24
147,power_ssj2008,Dell Inc.,PowerEdge R620 (Intel Xeon E5-2660 v2 2.20 GHz),184.0,45.2,2,10,2,Intel Xeon E5-2660 v2,2200,24,40
148,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)",263.0,56.1,2,8,2,Intel Xeon E5-2660,2200,24,32
149,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)",258.0,56.1,2,8,2,Intel Xeon E5-2660,2200,24,32
150,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)",248.0,54.9,2,8,2,Intel Xeon E5-2660,2200,24,32
151,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)",259.0,56.3,2,8,2,Intel Xeon E5-2660,2200,24,32
152,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2670, 2.6 GHz)",243.0,54.1,2,8,2,Intel Xeon E5-2670,2600,24,32
153,power_ssj2008,Dell Inc.,PowerEdge R630 (Intel Xeon E5-2699 v3 2.30 GHz),287.0,51.2,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
154,power_ssj2008,Dell Inc.,PowerEdge R630 (Intel Xeon E5-2699 v4 2.20 GHz),279.0,46.7,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
155,power_ssj2008,Dell Inc.,PowerEdge R640,469.0,55.0,2,28,2,Intel Xeon Platinum 8180,2500,192,112
156,power_ssj2008,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7702P, 2.00 GHz)",231.0,54.5,1,64,2,AMD EPYC 7702P,2000,64,128
157,power_ssj2008,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7702, 2.00 GHz)",404.0,81.6,2,64,2,AMD EPYC 7702,2000,128,256
158,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon L5530, 2.40 GHz)",172.0,62.8,2,4,2,Intel Xeon L5530,2400,8,16
159,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",220.0,65.0,2,4,2,Intel Xeon X5570,2933,8,16
160,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",237.0,75.6,2,4,2,Intel Xeon X5570,2933,12,16
161,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)",232.0,64.0,2,6,2,Intel Xeon X5670,2933,12,24
162,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)",236.0,64.6,2,6,2,Intel Xeon X5670,2933,12,24
163,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660 v2, 2.20 GHz)",173.0,43.9,2,10,2,"Intel Xeon E5-2660 v2,",2200,24,40
164,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.2 GHz)",250.0,52.7,2,8,2,Intel Xeon E5-2660,2200,24,32
165,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",231.0,52.3,2,8,2,Intel Xeon E5-2660,2200,24,32
166,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",230.0,53.8,2,8,2,Intel Xeon E5-2660,2200,24,32
167,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",244.0,52.2,2,8,2,Intel Xeon E5-2660,2200,24,32
168,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2670, 2.6 GHz)",231.0,51.0,2,8,2,Intel Xeon E5-2670,2600,24,32
