Hardware VendorTest Sponsor,SystemEnclosure (if applicable),Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,TotalThreads,TotalMemory (GB),ssj_ops @ 100%,avg. watts@ 100%,avg. watts@ active idle,Result(Overall ssj_ops/watt)
Acer Incorporated,"Acer AR585 F1

 Jun 21 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6278,2400,4,64,64,64,2307328,584,127,2969
Acer Incorporated,"Acer AR585 F1

 Jun 21 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6278,2400,4,64,64,256,2299931,786,186,2136
Acer Incorporated,"Acer AR585 F1

 Jun 21 2012 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6278,2400,4,64,64,256,2296333,713,176,2362
Acer Incorporated,"Acer AR380 F2

 Jul 11 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2630,2300,2,12,24,128,946189,325,99.6,2219


Acer Incorporated,"Acer AR380 F2

 Jul 11 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,128,1007444,307,99.5,2454
Acer Incorporated,"Acer AR380 F2

 Jul 11 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2665,2400,2,16,32,128,1347230,409,103,2705
Acer Incorporated,"Acer AR380 F2

 Jul 11 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,32,990555,254,81.9,2980
Acer Incorporated,"Acer AT350 F2

 Aug  8 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,32,1006865,255,83.5,3031
Acer Incorporated,"Acer AT350 F2

 Aug  8 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2665,2400,2,16,32,128,1365171,414,96.6,2824
Acer Incorporated,"Acer AT350 F2

 Aug  8 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2630,2300,2,12,24,128,961609,323,96,2330
Acer Incorporated,"Acer AT350 F2

 Aug  8 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,128,1028960,327,98.2,2464
Acer Incorporated,"Acer AT350 F2

 Aug  8 2012 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon E5-2665,2400,2,16,32,128,1347230,409,103,2705
Acer Incorporated,"Acer AW2000h-AW170h F2
Acer AW2000h

 Oct  3 2012 | 
    HTML | 
    Text",4,Oracle Corporation,Intel Xeon E5-2660,2200,8,64,128,128,5286503,1275,331,3501
Acer Incorporated,"Acer AW2000h-Aw170h F2
Acer AW2000h

 Jan  4 2013 | 
    HTML | 
    Text",4,IBM Corporation,Intel Xeon E5-2670,2600,8,64,128,512,6419253,1700,364,3400
Acer Incorporated,"Acer AR580 F2

 Jan  9 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-4650,2700,4,32,64,32,2980035,667,134,4134
Acer Incorporated,"Acer AR585 F1

 Jan  9 2013 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6380,2500,4,64,64,64,3151008,581,149,4096
Acer Incorporated,"Altos R380 F2

 May  8 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1436606,316,71.5,4036


Acer Incorporated,"Altos R360 F2

 May  8 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1429746,275,80.4,4142
Acer Incorporated,"Acer AR585 F1

 Jun 26 2013 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6344,2600,4,48,48,64,2482740,511,145,3739
Acer Incorporated,"Acer AR580 F2

 Jun 26 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-4607,2200,4,24,48,64,1646236,368,109,3659
Acer Incorporated,"Altos R380 F2

 Jun 26 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2650,2200,2,16,32,32,1292540,215,52.9,5268
Acer Incorporated,"Altos R380 F2

 Jun 26 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,32,1426072,252,63.7,5227
Acer Incorporated,"Altos R360 F2

 Jul 16 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1432448,258,72.4,4909
Acer Incorporated,"Altos R360 F2

 Jul 16 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2650,2000,2,16,32,24,1297515,223,64,4893
Acer Incorporated,"Altos T350 F2

 Jul 16 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2650,2000,2,16,32,24,1310610,219,56.1,5146
Acer Incorporated,"Altos T350 F2

 Jul 16 2013 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,1460890,255,68.5,5091
